user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,True,"The rear bumper is visible and the dent can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_CAR_BODY_PANEL, REQ_CAR_IDENTITY_OR_SIDE, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",none,dent,rear_bumper,supported,"The image set supports the claim because the rear bumper dent is visible in the supporting evidence. Supporting image id(s): img_1. Image-grounded reasoning: Analyzed 1 submitted image(s); 1 were usable and 1 had visible damage signals. img_1: Image quality is sufficient for visual verification. Detected part=rear_bumper, issue=dent, severity=medium.",img_1,True,medium
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,True,"The front bumper is visible and the scratch can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_CAR_BODY_PANEL, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",blurry_image;damage_not_visible,scratch,front_bumper,supported,"The image set supports the claim because the front bumper scratch is visible in the supporting evidence. Supporting image id(s): img_1. Image-grounded reasoning: Analyzed 2 submitted image(s); 2 were usable and 1 had visible damage signals. img_1: Quality risks detected: low_light_or_glare. Detected part=front_bumper, issue=scratch, severity=low. img_2: Quality risks detected: blurry_image, low_light_or_glare, damage_not_visible. Detected part=front_bumper, issue=none, severity=none. Risk context: blurry_image, damage_not_visible.",img_1,True,low
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,True,"The windshield is visible and the crack can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_CAR_GLASS_LIGHT_MIRROR, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",blurry_image;damage_not_visible,crack,windshield,supported,"The image set supports the claim because the windshield crack is visible in the supporting evidence. Supporting image id(s): img_1. Image-grounded reasoning: Analyzed 2 submitted image(s); 2 were usable and 1 had visible damage signals. img_1: Quality risks detected: low_light_or_glare. Detected part=windshield, issue=crack, severity=medium. img_2: Quality risks detected: blurry_image, low_light_or_glare, damage_not_visible. Detected part=windshield, issue=none, severity=none. Risk context: blurry_image, damage_not_visible.",img_1,True,medium
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,True,"The side mirror is visible and the broken part can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_CAR_BODY_PANEL, REQ_CAR_IDENTITY_OR_SIDE, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",claim_mismatch;manual_review_required,broken_part,side_mirror,contradicted,"Images contradict the submitted claim because the claim describes dent while the images indicate broken part. Image-grounded reasoning: Analyzed 1 submitted image(s); 1 were usable and 1 had visible damage signals. img_1: Image quality is sufficient for visual verification. Detected part=side_mirror, issue=broken_part, severity=medium.",img_1,True,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,True,"The rear bumper is visible and the scratch can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_CAR_BODY_PANEL, REQ_CAR_IDENTITY_OR_SIDE, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",blurry_image;damage_not_visible;claim_mismatch;user_history_risk;manual_review_required,scratch,rear_bumper,contradicted,"The images show only minor rear bumper scratching, so the severe damage claim is contradicted. User history also shows several rejected claims.",img_1,True,low
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,False,No image provided enough support to satisfy the visual evidence requirement. Readable images did not provide a reliable visible damage signal.,blurry_image;damage_not_visible;claim_mismatch;manual_review_required,crack,headlight,contradicted,"The image shows the headlight but does not show clear physical damage, so it contradicts the user's physical damage claim.",none,True,none
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,False,"The image does not show the claimed part, so the claimed issue cannot be verified. The image does not show the door, so the claimed issue cannot be verified.",blurry_image;wrong_angle;claim_mismatch;manual_review_required,dent,right_headlight,not_enough_information,The submitted image shows another part of the object and does not provide evidence for the door claim.,img_2,True,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,False,No submitted image could be found and decoded for visual verification.,non_original_image;claim_mismatch;user_history_risk;manual_review_required,broken_part,front_bumper,not_enough_information,"Images are readable but do not satisfy minimum evidence requirements. No submitted image could be found and decoded for visual verification. Image-grounded reasoning: Analyzed 1 submitted image(s); 0 were usable and 1 had visible damage signals. img_1: Quality risks detected: non_original_image. Detected part=front_bumper, issue=broken_part, severity=high.",none,False,high
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,True,"The screen is visible and the crack can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",wrong_object,crack,screen,contradicted,"The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.",img_1,True,medium
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,False,"The image does not show the claimed part, so the claimed issue cannot be verified. The image does not show the package side, so the claimed issue cannot be verified.",wrong_angle;wrong_object;blurry_image;damage_not_visible;claim_mismatch;manual_review_required,broken_part,hinge,contradicted,"The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.",img_1,True,medium
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,True,"The keyboard is visible and the stain can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",wrong_object,stain,keyboard,contradicted,"The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.",img_1,True,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,True,"The corner is visible and the none can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_LAPTOP_BODY_HINGE_PORT, REQ_REVIEW_TRUST. Supporting image id(s): img_2.",blurry_image;damage_not_visible;wrong_object,dent,corner,contradicted,"The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.",img_2,True,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,True,"The screen is visible and the crack can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",wrong_object;claim_mismatch;manual_review_required,crack,screen,contradicted,"The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.",img_1,True,medium
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,False,No image provided enough support to satisfy the visual evidence requirement. Readable images did not provide a reliable visible damage signal.,blurry_image;damage_not_visible;wrong_object;claim_mismatch;user_history_risk;manual_review_required,dent,trackpad,contradicted,"The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.",none,True,none
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,False,"The image does not show the claimed part, so the claimed issue cannot be verified. The image does not show the corner, so the claimed issue cannot be verified.",wrong_angle;claim_mismatch;manual_review_required,crushed_packaging,package_corner,not_enough_information,The submitted image shows another part of the object and does not provide evidence for the corner claim.,img_1,True,medium
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,True,"The seal is visible and the torn packaging can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_PACKAGE_EXTERIOR, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",blurry_image;damage_not_visible,torn_packaging,seal,supported,"The image set supports the claim because the seal torn packaging is visible in the supporting evidence. Supporting image id(s): img_1. Image-grounded reasoning: Analyzed 2 submitted image(s); 2 were usable and 1 had visible damage signals. img_1: Image quality is sufficient for visual verification. Detected part=seal, issue=torn_packaging, severity=medium. img_2: Quality risks detected: blurry_image, low_light_or_glare, damage_not_visible. Detected part=seal, issue=none, severity=none. Risk context: blurry_image, damage_not_visible.",img_1,True,medium
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,True,"The package side is visible and the water damage can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_PACKAGE_LABEL_OR_STAIN, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",blurry_image;claim_mismatch;user_history_risk;manual_review_required,water_damage,package_side,contradicted,"Images contradict the submitted claim because the claim describes stain while the images indicate water damage. Image-grounded reasoning: Analyzed 1 submitted image(s); 1 were usable and 1 had visible damage signals. img_1: Quality risks detected: blurry_image, low_light_or_glare. Detected part=package_side, issue=water_damage, severity=medium.",img_1,True,medium
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,True,"The unknown is visible and the water damage can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_REVIEW_TRUST. Supporting image id(s): img_1, img_2.",blurry_image;claim_mismatch;manual_review_required,water_damage,exterior,contradicted,"Images contradict the submitted claim because the claim describes missing part while the images indicate water damage. Image-grounded reasoning: Analyzed 2 submitted image(s); 2 were usable and 2 had visible damage signals. Duplicate visual hashes were detected for: img_2. img_1: Quality risks detected: blurry_image, low_light_or_glare. Detected part=unknown, issue=water_damage, severity=medium. img_2: Quality risks detected: blurry_image, low_light_or_glare. Detected part=unknown, issue=water_damage, severity=medium.",img_1;img_2,True,medium
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,True,"The corner is visible and the dent can be verified from the submitted image(s). Matched REQ_GENERAL_OBJECT_PART, REQ_GENERAL_MULTI_IMAGE, REQ_REVIEW_TRUST. Supporting image id(s): img_1.",claim_mismatch;user_history_risk;manual_review_required,dent,corner,contradicted,"Images contradict the submitted claim because the claim describes crushed packaging while the images indicate dent. Image-grounded reasoning: Analyzed 1 submitted image(s); 1 were usable and 1 had visible damage signals. img_1: Image quality is sufficient for visual verification. Detected part=corner, issue=dent, severity=low.",img_1,True,low
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,False,No image provided enough support to satisfy the visual evidence requirement. Readable images did not provide a reliable visible damage signal.,blurry_image;damage_not_visible;claim_mismatch;user_history_risk;manual_review_required,torn_packaging,seal,contradicted,"The image shows the exterior but does not show clear physical damage, so it contradicts the user's physical damage claim.",none,True,none
